NAME;SYMBOL;IS_PART_OF_SMI;SECTOR;ISIN_CODE;INDUSTRY;MARKET_CAP_MIO;SMI_WEIGHT
NESTLE N;NESN;1;2400;CH0038863350;5;229241.71;22.19
JULIUS BAER N;BAER;1;4800;CH0102484968;10;11191.37;1.06
ARYZTA N;ARYN;0;2400;CH0043238366;10;2810;
SCHINDLER PS;SCHP;0;1200;CH0024638196;10;23570;
LAFARGEHOLCIM N;LHN;1;1100;CH0012214059;35;30052.32;3.07
ADECCO N;ADEN;1;3200;CH0012138605;35;11256.94;1.06
SWISS RE N;SREN;1;4800;CH0126881561;60;27644.12;2.69
CLARIANT N;CLN;0;2200;CH0012142631;10;8190;
BALOISE N;BALN;0;4800;CH0012410517;60;7590;
CS GROUP N;CSGN;1;4800;CH0012138530;5;34355.35;3.19
NOVARTIS N;NOVN;1;2300;CH0012005267;5;190207.98;18.36
GIVAUDAN N;GIVN;1;2400;CH0010645932;35;17343;1.57
LONZA N;LONN;1;2300;CH0013841017;20;17393.59;1.52
SWISSCOM N;SCMN;1;4900;CH0008742519;5;22499.14;2.18
SGS N;SGSN;1;3200;CH0002497458;5;15293.62;1.44
SONOVA N;SOON;0;2300;CH0012549785;25;11310;
ABB LTD N;ABBN;1;1200;CH0012221716;55;46159.88;4.21
SWATCH GROUP I;UHR;1;1400;CH0012255151;45;18629.78;1.79
DUFRY N;DUFN;0;3500;CH0023405456;40;;
UBS GROUP N;UBSG;1;4800;CH0244767585;5;56606.27;5.41
ROCHE GS;ROG;1;2300;CH0012032048;5;183041.98;18.31
ZURICH INSURANCE N;ZURN;1;4800;CH0011075394;60;38574.77;3.85
LOGITECH N;LOGN;0;1300;CH0025751329;45;6080;
PARTNERS GROUP N;PGHN;0;4800;CH0024608827;45;17830;
RICHEMONT N;CFR;1;1400;CH0210483332;45;40602.73;4.18
SWISS LIFE HOLDING AG N;SLHN;1;4800;CH0014852781;65;9567.77;0.98
SIKA I;SIK;1;2200;CH0000587979;40;13499.95;1.46
VIFOR N;VIFN;0;2300;CH0364749348;5;7550;
GEBERIT N;GEBN;1;1200;CH0030170408;30;14976.44;1.47
KUEHNE+NAGEL INT N;KNIN;0;4600;CH0025238863;25;21270;
